timestamp,policy,n_folds,cv_mean,cv_std,cv_min,cv_max,cv_range,cv_cv_pct
2026-04-21T17:14:02,"Ensemble [champion, direct]",4,3731.55,286.622742758956,3466.0,4002.0,536.0,7.681063974995805
2026-04-21T15:17:27,ML Point cov=2 x1.05 [censoring=interpolate],4,3739.9500000000003,263.230918903283,3531.6,4124.8,593.2000000000003,7.038353959365312
2026-04-21T15:57:54,Conformal alpha_cp=0.50 x1.00,4,3746.55,346.6537321304938,3546.6,4264.6,718.0000000000005,9.25261192645217
2026-04-21T16:01:12,Conformal alpha_cp=0.60 x1.05 clip,4,3752.8,438.98084999993614,3468.8,4407.4,938.5999999999995,11.697421924960992
2026-04-21T15:31:48,RMSE-safety k=0.25 cov=2 x1.05,4,3753.1500000000005,315.03309349971494,3475.2,4140.6,665.4000000000005,8.393831674718967
2026-04-21T14:51:53,ML Point cov=2 x1.10,4,3754.1,321.4314857010745,3544.0,4229.8,685.8000000000002,8.562145006821197
2026-04-21T14:51:42,ML Point cov=2 x1.05,4,3754.4000000000005,295.61213326474495,3535.2,4189.0,653.8000000000002,7.8737516850827
2026-04-21T15:18:06,ML Point cov=2 x1.05 [censoring=zero],4,3758.9500000000007,263.1448967140853,3580.2,4149.4,569.1999999999998,7.000489410981397
2026-04-21T15:58:27,Conformal alpha_cp=0.60 x1.00,4,3759.65,403.42478439811634,3515.0,4363.0,848.0,10.73038140247407
2026-04-21T15:17:54,ML Point cov=2 x1.05 [censoring=seasonal_impute],4,3767.7,276.5608070569652,3485.2,4128.4,643.1999999999998,7.340308598268577
2026-04-21T17:19:31,Ensemble [extended_features_and_direct],4,3771.7500000000005,330.2199822340658,3499.6,4179.0,679.4000000000001,8.755086690105806
2026-04-21T14:52:05,ML Point cov=2 +1u,4,3774.3,230.49798263759277,3626.2,4117.0,490.8000000000002,6.107039255957204
2026-04-21T15:27:44,Ensemble w_ma=0.75 cov=2 x1.05,4,3778.6499999999996,233.37719825781326,3588.2,4113.0,524.8000000000002,6.176205741675289
2026-04-21T14:48:06,ML Point cov=2,4,3782.0499999999997,270.90300232124883,3564.4,4176.4,611.9999999999995,7.162861472514876
2026-04-21T14:51:30,ML Point cov=2 x1.00,4,3782.0499999999997,270.90300232124883,3564.4,4176.4,611.9999999999995,7.162861472514876
2026-04-21T20:37:40,tcn_v2_nosoftplus_cov2_m1.10,4,3787.35,173.07974077478463,3579.4,3993.6,414.1999999999998,4.569943120513938
2026-04-21T17:24:38,Ensemble [full_scalingandextanddirect],4,3828.5000000000005,395.58511936960747,3405.8,4307.2,901.3999999999996,10.332639920846479
2026-04-21T15:58:54,Conformal alpha_cp=0.70 x1.00,4,3848.7999999999997,481.18484320823444,3487.8,4558.4,1070.5999999999995,12.50220440678223
2026-04-21T15:49:05,CumQuantile cov=2 alpha=0.5 x1.0,4,3850.5000000000005,128.46099278250455,3750.6,4033.8,283.2000000000003,3.3362158883912354
2026-04-21T14:51:16,ML Point cov=2 x0.95,4,3851.1499999999996,234.52660829850402,3636.8,4184.2,547.3999999999996,6.089781189995301
2026-04-21T16:00:41,Conformal alpha_cp=0.70 x1.05,4,3864.45,511.522547564295,3450.8,4611.4,1160.5999999999995,13.236619637058183
2026-04-21T15:27:57,Ensemble w_ma=1.0 cov=2 x1.05,4,3923.4,274.2924473379947,3684.6,4311.4,626.7999999999997,6.991192520211925
2026-04-21T15:49:28,CumQuantile cov=2 alpha=0.55 x1.0,4,3934.75,218.22510549124885,3640.4,4105.8,465.4000000000001,5.546098366891132
2026-04-21T14:51:06,ML Point cov=2 x0.90,4,3952.5,185.30252741575515,3745.8,4196.6,450.8000000000002,4.688235987748391
2026-04-21T15:49:54,CumQuantile cov=2 alpha=0.6 x1.0,4,4040.4,300.5553970013959,3626.4,4306.0,679.5999999999999,7.438753514538063
2026-04-21T15:29:58,RMSE-safety k=0.5 cov=2 x1.0,4,4059.3999999999996,588.1286933996676,3505.4,4754.6,1249.2000000000003,14.48806950287401
2026-04-21T15:59:41,Conformal alpha_cp=0.80 x1.00,4,4093.2999999999997,595.330037318237,3481.4,4902.6,1421.2000000000003,14.544011856405273
2026-04-21T15:32:21,RMSE-safety k=0.5 cov=2 x1.05,4,4157.05,636.7924073039818,3529.0,4911.6,1382.6000000000004,15.318372579208376
2026-04-21T15:50:19,CumQuantile cov=2 alpha=0.65 x1.0,4,4163.85,446.5774848780445,3543.2,4584.8,1041.6000000000004,10.72510981130551
2026-04-21T14:52:20,ML Point cov=2 -1u,4,4190.1,329.5760711378583,3886.8,4625.0,738.1999999999998,7.865589631222603
2026-04-21T19:49:50,tcn_v2_cov2_m1.10,4,4192.65,278.3964259828059,3953.2,4593.4,640.1999999999998,6.640106519332783
2026-04-21T15:02:34,NegBinom cov=2 alpha=0.7,4,4211.25,319.57464959953654,3987.0,4680.4,693.3999999999996,7.588593638457383
2026-04-21T20:08:58,tcn_v2_noaug_cov2_m1.10,4,4212.1,231.31407220487034,4069.4,4556.0,486.5999999999999,5.491656708170991
2026-04-22T08:37:34,cap2_8f_TUNED_a0.7_m1.2,8,4218.924999999999,1429.7756584763322,3026.2,6937.6,3911.4000000000005,33.88957278160509
2026-04-22T08:36:47,cap2_8f_TUNED_a0.7_m1.15,8,4222.200000000001,1447.9972138884007,3018.8,6969.2,3950.3999999999996,34.294851354469245
2026-04-22T08:35:46,cap2_8f_TUNED_a0.7_m1.1,8,4230.425,1474.3969670440085,3017.2,7022.4,4005.2,34.85221856064127
2026-04-21T16:00:11,Conformal alpha_cp=0.833 x1.00,4,4235.35,667.5615002879263,3502.2,5099.8,1597.6000000000004,15.761660790440606
2026-04-22T08:31:49,cap2_8f_TUNED_a0.7_m1.05,8,4259.125,1502.2070275336314,3040.2,7089.2,4049.0,35.270320254362844
2026-04-22T08:53:35,cap2_a0.65_r5_m1.4,8,4261.875,1548.8479808738955,3157.0,7162.6,4005.6000000000004,36.341938251917185
2026-04-22T08:54:23,cap2_a0.65_r5_m1.5,8,4264.25,1538.6101251268487,3155.4,7119.8,3964.4,36.08161165801369
2026-04-22T08:52:50,cap2_a0.65_r5_m1.3,8,4268.55,1559.6610318545866,3180.4,7213.2,4032.7999999999997,36.538427143985345
2026-04-22T08:34:20,cap2_8f_TUNED_a0.75_m1.05,8,4270.575,1475.665918201968,3019.0,7078.0,4059.0,34.554267708727
2026-04-22T09:25:53,oe_A_avg2,8,4276.175,1532.5902087176282,3155.6,7218.2,4062.6,35.840212543163645
2026-04-22T08:52:05,cap2_a0.65_r5_m1.2,8,4278.025,1569.7950528196802,3198.8,7272.2,4073.3999999999996,36.69438707860942
